ranking,dane_code,city,department,school,sector,calendar,Matriculados,Publicados,puesto_saber_11,promedio_puntaje_global_saber_11,desviacion_general,isce_media,isce_secundaria,isce_primaria,saber_9_general,saber_5_general,saber_3_general,formula_1,formula_2,formula_3,total
7401,308758003013,SOLEDAD,ATLANTICO,CENTRO EDUCATIVO AMIRA DE LA ROSA DE SOLEDAD,Privado,A,15,15,7262,229,43,4.049.284.935,0,0,346,249,424,62.40,40.49,84.19,62.36
7402,220710000247,SAN ALBERTO,CESAR,C. E. LA LLANA,Oficial,A,10,9,4942,250,51,4.282.924.652,0,5.606.123.924,279.5,293,303,56.28,49.45,81.36,62.36
7403,219355000372,INZÁ,CAUCA,INSTITUCION EDUCATIVA SANTA TERESITA DEL NIÑO JESUS,Oficial,A,25,25,7224,229,36,4.998.260.498,3.730.673.552,5.454.560.757,252.5,282.5,303.5,53.38,47.28,86.42,62.36
7404,213212000021,CÓRDOBA,BOLIVAR,I.E.T.A. LUIS VILLAFAÑE PAREJA,Oficial,A,44,44,8684,209,34,410.275.507,4.721.547.127,642.427.063,268.5,257,270,50.23,50.83,86.01,62.35
7405,108001013951,BARRANQUILLA,ATLANTICO,INSTITUCION EDUCATIVA DISTRITAL JUAN ACOSTA SOLERA,Oficial,A,89,82,4749,251,38,429.206.419,4.697.530.746,4.666.257.858,297.5,290,276,55.73,45.52,85.82,62.35
7406,113001012508,CARTAGENA DE INDIAS,BOLIVAR,ESCUELA NORMAL SUPERIOR DE CARTAGENA DE INDIAS,Oficial,A,136,134,4918,250,43,4.354.429.245,4.716.159.821,4.827.640.533,293,288.5,281,55.63,46.33,85.11,62.35
7407,217541000649,PENSILVANIA,CALDAS,INSTITUCION EDUCATIVA PABLO VI,Oficial,A,16,16,5247,247,37,4.210.554.123,4.306.078.911,6.688.907.146,0,0,0,49.40,50.69,86.97,62.35
7408,376001042882,CALI,VALLE,LICEO MIXTO EMPERADOR II,Privado,A,47,47,6079,240,41,4.530.855.179,3.913.550.377,5.376.237.392,284.5,292,295,55.58,46.07,85.41,62.35
7409,123570000521,PUEBLO NUEVO,CORDOBA,INST. EDUC. EL ROSARIO,Oficial,A,62,58,6065,240,39,433.920.908,4.516.528.606,4.870.649.338,289,298.5,296,56.18,45.75,85.12,62.35
7410,108001000018,BARRANQUILLA,ATLANTICO,INST. EDUC. DIST. LAS AMERICAS (ANT. C.C.E.B. # 202),Oficial,A,31,31,7309,228,35,5.360.152.245,0,4.551.218.033,262,259,267,50.80,49.56,86.69,62.35
