Código DANE,País/ET/Municipios,Departamento,Establecimientos educativos,Sector,Calendario,Matriculados,Publicados,PUESTO SABER11,Promedio Puntaje Global SABER 11,Desviación General,FORMULA 1,FORMULA 2,FORMULA 3,TOTAL
325899000893,ZIPAQUIRÁ,CUNDINAMARCA,COL FRANCISCO JOSE DE CALDAS,Privado,A,29,30,588,309,27,0.714,0.793659385,0.922413793,0.810024393
425473000866,MOSQUERA,CUNDINAMARCA,GIMNASIO CAMPESTRE MARIE CURIE,Privado,A,67,65,204,331,27,0.75275,0.808578714,0.922329692,0.827886135
405873000325,VIGÍA DEL FUERTE,ANTIOQUIA,I. E. R. ALIANZA PARA EL PROGRESO,Oficial,A,12,12,9126,178,15,0.4765,#N/A,0.922279793,#N/A
311001002321,BOGOTÁ D.C.,BOGOTÁ D.C.,COL PARROQ SAN JUAN BAUTISTA DE LA SALLE,Privado,A,45,45,336,320,27,0.691,0.721633577,0.922190202,0.778274593
313001005748,CARTAGENA DE INDIAS,BOLIVAR,GIMNASIO ALTAIR DE CARTAGENA,Privado,A,33,33,41,355,30,0.7745,0.841160409,0.922077922,0.845912777
327361060015,EL LITORAL DEL SAN JUAN,CHOCO,IE INDÍGENA GERARDO CHIRIPUA VALENCIA,Oficial,A,41,38,9162,166,13,0.4365,0.324618371,0.922060226,0.561059533
313430002129,MAGANGUÉ,BOLIVAR,GIMN MODERNO MONTECATINI,Privado,A,26,26,99,343,29,0.68475,0.725063721,0.922043011,0.777285577
311001093393,BOGOTÁ D.C.,BOGOTÁ D.C.,GIMN CAMPESTRE BETH-SHALOM (ANTIGUO EL REDIL),Privado,A,43,44,170,334,29,0.792,0.818091583,0.921968095,0.844019893
311848001118,BOGOTÁ D.C.,BOGOTÁ D.C.,GIMN LOS ANDES,Privado,A,125,125,106,342,29,0.774,0.837398434,0.921832884,0.844410439
250001000485,VILLAVICENCIO,META,LICEO GENERAL SERVIEZ,Oficial,A,39,39,209,330,28,0.73375,0.785333983,0.921787709,0.813623898
227025001341,ALTO BAUDÓ,CHOCO,IE MISAEL SOTO CORDOBA,Oficial,A,16,15,9137,176,14,0.498,0.44920098,0.921710526,0.622970502
